gene_symbol,Veh_1,Veh_2,Veh_3,Veh_4,Veh_5,DpC_1,DpC_2,DpC_3,DpC_4,DpC_5
0610030E20Rik,754,733,924,802,744,833,892,1029,751,584
1110002E22Rik,0,0,8,0,1,2,0,2,3,2
1110004F10Rik,733,899,921,813,706,861,806,1026,653,645
1110032F04Rik,1,0,0,1,0,1,0,0,1,0
1110038F14Rik,192,232,198,163,172,160,176,267,110,104
1110059E24Rik,261,372,394,287,305,272,322,391,324,238
1110059G10Rik,140,198,233,218,195,184,228,277,169,152
1110065P20Rik,236,281,312,310,162,242,270,383,149,145
1190005I06Rik,52,62,62,58,45,63,69,113,24,28
1500009L16Rik,5,9,5,2,14,11,9,4,4,10
1500011B03Rik,80,66,81,67,59,54,62,78,48,48
1600012H06Rik,655,634,782,702,570,694,784,858,649,485
1600014C10Rik,3225,3751,4636,4543,3281,3420,4822,5509,3590,2495
1600029I14Rik,0,0,0,0,0,1,0,0,0,0
1700001J03Rik,0,0,2,1,0,1,2,3,0,2
1700001K19Rik,7,3,11,2,4,1,3,1,7,4
1700001O22Rik,3,0,0,2,2,2,1,0,0,0
1700003E16Rik,25,27,15,19,15,29,39,55,26,19
1700003F12Rik,0,4,12,9,3,2,2,4,5,2
1700008O03Rik,0,2,2,1,1,1,3,1,7,5
1700009N14Rik,0,1,0,0,0,0,0,0,0,0
1700010I14Rik,12,15,16,5,20,10,20,17,10,8
1700014B07Rik,0,1,1,0,1,0,0,0,0,0
1700016H13Rik,0,0,0,0,2,0,0,0,0,0
1700017B05Rik,429,514,497,335,377,440,396,406,270,281
1700019A02Rik,0,2,0,0,2,10,0,6,2,1
1700019D03Rik,11,7,10,9,6,16,9,13,5,2
1700020A23Rik,1,0,0,0,0,0,0,0,0,0
1700020L24Rik,1,0,6,2,3,8,3,4,3,4
1700020N01Rik,2,1,0,0,0,0,0,0,0,0
1700025B11Rik,0,3,0,0,0,0,0,0,0,1
1700025G04Rik,131,62,125,88,119,94,107,97,70,59
1700028J19Rik,5,3,4,11,7,9,4,13,8,5
1700028K03Rik,12,3,22,5,7,9,8,10,0,3
1700029F12Rik,15,13,32,20,9,19,13,22,14,13
1700030C10Rik,0,0,3,0,0,0,0,0,0,0
1700030J22Rik,8,6,6,16,13,13,11,17,8,10
1700030K09Rik,101,114,109,117,86,106,114,97,49,80
1700034J05Rik,0,0,0,0,0,0,0,5,0,0
