gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Igkc,278.4988339982441,-2.9494041867461718,0.2807811317502412,-10.504281994880298,8.254857181525142e-26,1.3424048748596187e-21
Igha,261.68142560860207,-4.640506599067748,0.45476407431178917,-10.204206667139205,1.898664140074439e-24,1.5438038122945263e-20
Mfge8,1947.9717149114629,-1.1483650463058435,0.11704955303206649,-9.810930640557348,1.0103242774427452e-22,5.476631133257975e-19
Aacs,1981.757036958084,1.1443926580898955,0.12333554818531482,9.278692760747422,1.7157055206158275e-20,6.975200794063646e-17
Nr3c2,251.6272446113754,0.9778435513081292,0.11137648777135543,8.77962279898377,1.6402381830689873e-18,4.582215795959109e-15
Mmd2,121.14855699637171,1.7115195234349896,0.21094832458286134,8.113453978927897,4.92008338781367e-16,1.1430056578946557e-12
Ccn2,253.96327123476695,-1.424015220882381,0.18519659834152166,-7.689208298828199,1.4804826300832402e-14,2.675067614490406e-11
Cd63,1622.7144262432423,-0.8179981989030711,0.10837871461577235,-7.547590888146849,4.4338311594148367e-14,7.210296231440408e-11
Sh3bgrl3,611.9513373418376,-0.6793793680187391,0.09295996788202578,-7.308300373779497,2.705424900267645e-13,3.9996017934684036e-10
Trpm4,279.46897065294866,-0.8605436768573753,0.11822092432591355,-7.27911477400577,3.360177223480404e-13,4.5536001673531944e-10
Rasal1,86.87622568499808,-2.215393441027385,0.3070051365413733,-7.216144543981692,5.348220913843463e-13,6.690212961609415e-10
Gpx3,493.1231463395235,-1.049739047562119,0.14592934843231956,-7.193474505568539,6.316295140919005e-13,7.336827970116062e-10
Daam1,1526.8917650739893,0.5879185727684899,0.08258000472786729,7.119381679692397,1.0841230811867594e-12,1.1753339697506057e-09
Egr1,695.2203543962576,-0.9107252665351021,0.12981241711455874,-7.015702247739461,2.2879683862592176e-12,2.3254338685842125e-09
Ccn5,165.07489765896594,-1.431160272825933,0.20568710972827028,-6.95794828716595,3.452638936913913e-12,3.1192674662274474e-09
Mbl2,1821.3218231900196,0.8635014175265661,0.12546657185082033,6.882322556427769,5.888449152932962e-12,5.039892638157675e-09
Arrdc1,193.62038794431118,-0.8863865641305925,0.12943527186547316,-6.848106790024334,7.483369673347715e-12,6.084727881399027e-09
Hpca,41.53432108320045,-1.6612965235025734,0.24535064194939635,-6.771111378812762,1.2779683927306712e-11,9.896343810755322e-09
Tiam2,133.304590326616,1.2548498945943989,0.1861801550577114,6.73997663287704,1.5841210568057575e-11,1.170953482989783e-08
Dtx3,331.10497261998654,-0.8983407389197442,0.13376247422785165,-6.715939908449258,1.8685779247181418e-11,1.3128786059904302e-08
Mmp7,105.9338264295549,-3.8351023448879165,0.5714948906954603,-6.710650274092434,1.937589874786024e-11,1.3128786059904302e-08
Ighg2c,70.81223278616699,-6.22053818872344,0.9313788495857843,-6.678848453011279,2.4082703570319754e-11,1.5665317018421594e-08
Casp12,186.61493662077626,-1.1362840120590523,0.17052456255822612,-6.663462406895574,2.674504820394555e-11,1.672799899586779e-08
Lcn2,6217.4122256331375,-0.7461265954809274,0.11313788769328435,-6.594842900935794,4.257064002112286e-11,2.3871853380120686e-08
Rarg,217.44421411287732,-0.8897253160798287,0.13480857733226956,-6.599916219625087,4.1139019927095315e-11,2.3871853380120686e-08
Lonrf1,223.6972858994465,0.8122361656099871,0.12359603798236266,6.571700669934861,4.974378737899522e-11,2.6964449011907344e-08
Prom1,84.4777297136646,-2.345904019912496,0.36211438701751025,-6.478350775383742,9.273057738371959e-11,4.8644666110130584e-08
Scube3,114.83356937196936,-2.3047041857722452,0.3568576262427569,-6.458329642658221,1.0586494524720002e-10,5.379924186281146e-08
Cd14,426.3007626906359,-0.8535562100571028,0.1327466648437305,-6.429963502750973,1.276345875483541e-10,6.289677765791923e-08
Csf2ra,859.3318072705064,-0.5672385902067285,0.08834354652816054,-6.420826562876492,1.3553637878618652e-10,6.482625270061662e-08
Mal,37.343667239810785,-2.5115538899976806,0.3961012958810802,-6.340685870292416,2.287445178658721e-10,1.0332898193152256e-07
Cldn6,18.143346370568523,-2.9696466852716337,0.46957225431164484,-6.324152796516687,2.546256779095766e-10,1.1191142632879824e-07
Btg2,527.4545571850973,-0.5934399333282597,0.09397179653485488,-6.315085538543984,2.7001208640973674e-10,1.1555096182092471e-07
Sftpd,91.30973300636705,-1.7477296180306063,0.27707532198579743,-6.307777991575132,2.8306985266318816e-10,1.1803287035919912e-07
Jchain,91.39235383521195,-3.6591675165266158,0.5809495569415544,-6.298597654141496,3.003504802525439e-10,1.2210748774667173e-07
Wnk2,61.833923474494114,-2.483503627784076,0.39676203516494957,-6.2594285936445155,3.86390604809707e-10,1.5325570769305988e-07
