,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,GO_Biological_Process_2023,Regulation Of Cell Migration (GO:0030334),66/434,1.3542763602758286e-16,2.6844765506524113e-13,0,0,3.6853212986018,134.6546168676118,SEMA5A;SERPINE2;FAM107A;LAMC2;VSIR;CX3CL1;CXCL16;IGF1R;CDH1;MDK;TMSB4X;DPYSL3;ITGAX;CYP1B1;TMSB10;PDGFRB;SEMA6C;PDGFRA;ANXA1;MMP7;SPHK1;MAGI2;TET1;DYNLL1;RHOC;CLDN4;SMO;ADAM15;DPEP1;ITGA6;SINHCAF;SGK1;HBEGF;SMIM22;BEX4;SEMA3C;SRC;CAMK2A;PDGFB;CXCR4;SEMA3F;THBS1;PAK1;GPNMB;PODXL;PDGFD;PDGFC;NTF3;PDPN;MGAT3;SLIT2;PLXNA3;CCR1;CARMIL1;ACE;JAG1;SEMA4D;CAV1;SULF1;PLET1;COL1A1;VIL1;FGF18;SNAI1;F2RL1;SPRY2
1,GO_Biological_Process_2023,Extracellular Matrix Organization (GO:0030198),40/176,1.6730922721423562e-16,2.6844765506524113e-13,0,0,5.948482176596548,216.0886555895463,COL15A1;ELN;DPT;CAPG;LOXL1;CTSS;THSD4;ADAMTS16;ADAMTS14;CREB3L1;CTSK;SERPINH1;CYP1B1;ADAMTS9;GPM6B;COL28A1;CRTAP;TGFB2;COL27A1;MMP7;GSN;LUM;MMP2;APLP1;P3H4;COL1A1;MMP12;SMOC2;CCDC80;COL1A2;ADAM15;LOX;SPINT1;COL7A1;COL4A3;COL5A2;COL4A6;COL4A5;ADAM8;GAS6
2,GO_Biological_Process_2023,Positive Regulation Of Cell Migration (GO:0030335),49/272,1.4892369262769862e-15,1.5929870988076165e-12,0,0,4.46659556417404,152.4918618526053,SEMA5A;FAM107A;LAMC2;VSIR;CXCL16;IGF1R;GLIPR2;MDK;ITGAX;SOX9;CCR2;PDGFRB;PDGFRA;SEMA6C;SEMA6A;MMP7;SPHK1;RHOC;CLDN4;SMO;ITGA6;HBEGF;SMIM22;SEMA3C;SRC;PDGFB;CXCR4;SEMA3F;THBS1;PAK1;GPNMB;RAB25;PODXL;PDGFD;PDGFC;NTF3;PDPN;CCR1;CARMIL1;TGFB2;SEMA4D;CAV1;PLET1;COL1A1;VIL1;FERMT1;SNAI1;F2RL1;SPRY2
3,GO_Biological_Process_2023,Positive Regulation Of Cell Motility (GO:2000147),43/221,4.871372227470758e-15,3.908058369488415e-12,0,0,4.890621417106169,161.1723885996559,SEMA5A;SEMA3C;PDGFB;FAM107A;CXCR4;LAMC2;SEMA3F;THBS1;VSIR;CXCL16;IGF1R;PAK1;GPNMB;PODXL;MDK;PDGFD;PDGFC;NTF3;PDPN;ITGAX;CCL19;CCR1;PDGFRB;CARMIL1;PDGFRA;SEMA6C;MMP7;CAVIN1;SEMA4D;SPHK1;CAV1;RHOC;PLET1;COL1A1;VIL1;CLDN4;SMO;SNAI1;F2RL1;SPRY2;ITGA6;HBEGF;SMIM22
4,GO_Biological_Process_2023,Regulation Of Cell Population Proliferation (GO:0042127),80/766,8.914118576149324e-11,5.7210813021726354e-08,0,0,2.3923663425101585,55.361270212484925,BTG2;RARG;TES;ELN;LAMC2;CX3CL1;IGF1R;ESM1;ITGAX;NCK2;CYP1B1;TIMP1;SOX9;JUNB;SOX4;PDGFRB;PDGFRA;TESC;MAGI2;P3H2;MATK;EMP2;P3H3;DYNLL1;NGF;OSMR;CBFA2T3;CDC25B;RUNX1;SULT2B1;SFRP5;ALDH1A2;COL4A3;SINHCAF;NUPR1;SGK1;HBEGF;SMIM22;BEX4;LTK;CTBP2;PDGFB;MST1R;PTN;THBS1;PKHD1;EFNB2;PAK1;ADGRG1;GPNMB;RAB25;EPCAM;PDGFD;PDGFC;NTF3;PDPN;ERBB2;SH3BP4;IGFBP7;HES1;IGFBP6;TRPM4;JAG2;TBX1;TGFB2;CADM4;JAG1;NIBAN2;TGFB3;PTPN14;BMP6;WT1;CLCF1;WNK2;FGF18;BCL2;INHA;IL7R;CD200;CRLF2
5,GO_Biological_Process_2023,Regulation Of ERK1 And ERK2 Cascade (GO:0070372),35/244,9.763970612404549e-09,4.915025513439626e-06,0,0,3.3558809891414567,61.897770722053814,DDR1;ARHGAP8;RAMP3;RGS14;PDGFB;FBLN1;TREM2;TNF;AGER;CX3CL1;PKHD1;P2RY6;GPNMB;GLIPR2;PDGFD;PDGFC;ERBB2;TIMP3;CCN2;CCL19;CCR1;DUSP4;PDGFRB;PDGFRA;SEMA6A;ANGPT1;CARD9;GPR183;WNK2;F2RL1;ACKR3;SPRY2;EZR;GAS6;MAP3K12
6,GO_Biological_Process_2023,Supramolecular Fiber Organization (GO:0097435),41/316,1.0721464192607472e-08,4.915025513439626e-06,0,0,2.9963597388677776,54.98625181855192,KRT23;DPT;LTBP2;SLAIN1;CORO1A;LOXL1;THSD4;CNN2;SAMD14;ADAMTS14;EFEMP2;POF1B;SERPINH1;CYP1B1;CARMIL1;CRTAP;TGFB2;MARCKSL1;GSN;COL27A1;LUM;NCKAP5L;KRT7;MYO5A;P3H4;EMP2;CCDC88B;COL1A1;CLIP3;MFAP4;KRT19;TPPP3;COL1A2;LOX;TRPV4;CCDC88C;MYO5C;COL5A2;CORO6;TAGLN2;VIM
7,GO_Biological_Process_2023,Positive Regulation Of MAPK Cascade (GO:0043410),40/310,1.8925254230178163e-08,7.591392603080216e-06,0,0,2.9750178443968593,52.90405392012711,DDR1;ARHGAP8;RAMP3;PDGFB;TREM2;MST1R;TNF;AGER;THBS1;CX3CL1;ART4;PIK3R5;IGF1R;P2RY6;GPNMB;GLIPR2;PDGFD;PDGFC;NTF3;ERBB2;CCN2;CCL19;IGFBP6;CCR1;PDGFRB;TBX1;PDGFRA;TGFB2;ANGPT1;CAV2;CARD9;DOK3;GPR183;FGF18;F2RL1;ACKR3;SPRY2;ADAM8;GAS6;MAP3K12
8,GO_Biological_Process_2023,Negative Regulation Of Cellular Process (GO:0048523),57/537,2.8151188099026392e-08,1.00374625121973e-05,0,0,2.401676663031625,41.754772986086344,SEMA5A;BTG2;RARG;TES;TREM2;GJA1;MDK;NCK2;CCN5;CYP1B1;DACT3;CCN2;SOX4;TSPYL2;TESC;MAGI2;P3H2;P3H3;DYNLL1;NGF;RUNX3;CBFA2T3;TENT5C;SULT2B1;ADAM15;SFRP5;ALDH1A2;COL4A3;CHMP4C;SINHCAF;NUPR1;CRYAB;CTBP2;TACSTD2;FBLN1;THBS1;ADGRG1;GPNMB;PODXL;PDPN;SH3BP4;IGFBP7;IGFBP6;SLIT2;IP6K2;PLXNA3;TBX1;TGFB2;NIBAN2;ANGPT1;SEMA4D;TGFB3;PTPN14;WT1;WNK2;INHA;CD200
9,GO_Biological_Process_2023,Collagen Fibril Organization (GO:0030199),13/42,5.468772709065176e-08,1.7508606494451936e-05,0,0,8.861494850909613,148.1786073086708,CRTAP;TGFB2;COL27A1;LUM;DPT;P3H4;LOXL1;COL1A1;COL1A2;LOX;COL5A2;SERPINH1;CYP1B1
