Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,MSigDB_Hallmark_2020__Fatty Acid Metabolism,0.7113619851034086,2.3909414652343033,0.0,0.0,0.0,94/145,17.72%,Sdha;Aldh3a2;Hsd17b4;Etfdh;Dld;Retsat;Cpox;Sucla2;Aldh1a1;Hsdl2;Ppara;Dlst;Idh1;Ugdh;Adipor2;Glul;Ehhadh;Suclg2;Me1;Aldh9a1;Acadm;Mgll;Acsl4;Gpd2;Cryz;Gpd1;Fmo1;Decr1;Hibch;Acsm3;Dhcr24;Nbn;Pdha1;Pdhb;Aadat;Acox1;Hadhb;Cpt2;Vnn1;Gcdh;Rdh16;Cpt1a;Tdo2;Hpgd;Hsd17b7;Acsl1;Ephx1;Maoa;Idh3b;Metap1;Prdx6;Aco2;Acadl;Reep6;Suclg1;Gstz1;Uros;D2hgdh;Serinc1;Bphl;Hmgcs2;Acadvl;Hadh;Fabp1;Hmgcl;Hsd17b11;Urod;Rap1gds1;Mdh1;Mcee;Echs1;Kmt5a;Acot8;Acsl5;Fasn;Ech1;Gad2;S100a10;Apex1;Hsd17b10;Auh;Idh3g;Gabarapl1;Adsl;Acaa2;Acads;Adh7;Acat2;Pcbd1;Idi1;Slc22a5;G0s2;Hccs;Hsp90aa1
prerank,MSigDB_Hallmark_2020__Oxidative Phosphorylation,0.6699847244792527,2.3354594619926283,0.0,0.0,0.0,111/194,17.08%,Mfn2;Opa1;Sdha;Hadha;Lrpprc;Ndufs1;Hspa9;Oat;Etfdh;Dld;Retsat;Sucla2;Atp5f1b;Dlst;Acadsb;Aldh6a1;Glud1;Nqo2;Idh1;Mtrf1;Acadm;Uqcrc2;Rhot1;Aifm1;Ogdh;Immt;Decr1;Pdha1;Etfa;Maob;Acat1;Pdhb;Hadhb;Dlat;Pdhx;Ndufb5;Slc25a5;Vdac1;Cox11;Cpt1a;Abcb7;Cox15;Atp5f1a;Ndufab1;Idh3b;Got2;Ndufv1;Casp7;Atp5me;Alas1;Cs;Ndufa3;Slc25a20;Aco2;Suclg1;Ndufs2;Bdh2;Supv3l1;Atp5pb;Ndufb6;Idh2;Grpel1;Ndufa4;Acadvl;Uqcrfs1;Uqcrb;Atp5mc3;Cox7b;Ndufa1;Ndufa5;Ndufa9;Cox7c;Timm17a;Mdh1;Phyh;Ndufb3;Cox6b1;Echs1;Ndufs6;Ndufb1;Uqcrc1;Mrpl15;Ndufc1;Ndufb8;Atp5mf;Afg3l2;Cyb5r3;Mrps22;Timm9;Mgst3;Ech1;Cox6c;Nnt;Mtx2;Hsd17b10;Idh3g;Cox10;Atp5f1e;Slc25a11;Cox5a;Timm8b;Slc25a3;Acaa2;Cox5b;Atp5pf;Cycs;Cyc1;Iscu;Pmpca;Sdhb;Atp5po
prerank,KEGG_2019_Mouse__Peroxisome,0.7329498300395946,2.250934192054332,0.0,0.0,0.0,48/84,15.88%,Abcd3;Hsd17b4;Nudt12;Nudt7;Dhrs4;Pex1;Idh1;Mpv17l;Ehhadh;Scp2;Acsl4;Pex3;Crot;Mpv17;Cat;Xdh;Pex11a;Acox1;Pex13;Ephx2;Hacl1;Pex5;Pipox;Acsl1;Pex26;Hao1;Sod2;Acaa1b;Pecr;Gstk1;Abcd1;Idh2;Pex2;Pex7;Hmgcl;Phyh;Baat;Acot8;Acox2;Sod1;Acsl5;Gnpat;Pex19;Ech1;Acox3;Decr2;Amacr;Slc25a17
prerank,Reactome_2022__Protein Localization R-HSA-9609507,0.6595119648397877,2.2395425594181035,0.0,0.0,0.0,68/155,15.88%,Aldh3a2;Abcd3;Lonp2;Hspa9;Pitrm1;Hsd17b4;Atp5f1b;Slc25a13;Hspd1;Nudt7;Dhrs4;Acbd5;Idh1;Ehhadh;Ldhd;Usp9x;Pex3;Crot;Atad1;Mpv17;Pmpcb;Acox1;Pex13;Vdac1;Ephx2;Ube2d3;Pex5;Pipox;Atp5f1a;Pex26;Hao1;Cs;Ide;Aco2;Otc;Pecr;Gstk1;Gfer;Abcd1;Bcs1l;Grpel1;Pex2;Pex7;Glyat;Hmgcl;Dnajc19;Timm17a;Phyh;Baat;Tomm7;Chchd3;Acot8;Acox2;Ndufb8;Gnpat;Timm23;Pex19;Timm9;Sec61g;Chchd4;Ech1;Acox3;Mtx2;Idh3g;Decr2;Amacr;Timm8b;Slc25a17
prerank,Reactome_2022__Extracellular Matrix Organization R-HSA-1474244,-0.6936518951148896,-2.238537581642448,0.0,0.0,0.0,98/273,8.22%,Mmp7;Scube3;Lamc2;Timp1;Htra1;Ddr1;Itgb4;Ctsk;Col27a1;Lum;Adamts16;Loxl1;Col4a4;Lama5;Serpinh1;Lamc3;Tgfb2;Fmod;Ltbp3;Timp2;Itga8;Fbln1;Col28a1;Col4a5;Ptprs;P3h3;Efemp2;Itgb8;Tgfb3;Col1a1;Itga3;Col1a2;Pcolce;Lama4;Adam15;Mfap4;Adamts9;Crtap;Pdgfb;Col7a1;Bgn;Fbn2;Col4a3;Lox;Ctss;Agrn;Col4a6;Plod2;Scube1;Efemp1;F11r;Mmp2;Col15a1;Ltbp1;Mmp14;Mfap2;Mmp12;Col6a1;Ncam1;Itga2;P3h2;Col6a2;Itgax;Itga6;Itga5;Sparc;Ltbp4;Adam8;Col6a3;Itgb6;Thbs1;Adam19;Col5a2;Adamts14;Itgb7;Fbln5;Cd47;Vcan;Ctsd;Col16a1;Adamts2;Mfap5;Cd44;Itgam;Col4a1;Ctsb;Loxl2;Hspg2;Itgb5;Mmp11;Itgb2;Col4a2;Col12a1;Fgf13;Itgae;Adamts5;Tnxb;Fbln2
prerank,GO_Biological_Process_2023__Extracellular Matrix Organization (GO:0030198),-0.723246443317063,-2.223208811135307,0.0,0.0,0.0,63/162,10.69%,Mmp7;Spint1;Gas6;Gsn;Thsd4;Ctsk;Dpt;Col27a1;Lum;Adamts16;Loxl1;Serpinh1;Tgfb2;Capg;Smoc2;Col28a1;Col4a5;Adamts10;Col1a1;P3h4;Col1a2;Adam15;Adamts9;Crtap;Col7a1;Col4a3;Lox;Creb3l1;Ctss;Col4a6;Mmp2;Cyp1b1;Col15a1;Mmp14;Eln;Mmp12;Gpm6b;Ccdc80;Adam8;Aplp1;Col5a2;Adamts14;App;Col16a1;Adamts2;Col4a1;Loxl2;Mia;Flrt2;Mmp11;Col4a2;Adamts7;Col12a1;Adamts15;Adamts5;Scx;Col3a1;Sh3pxd2b;Adamts4;Col23a1;Spock2;Col5a1;Col9a2
prerank,GO_Biological_Process_2023__Amino Acid Catabolic Process (GO:0009063),0.8181099159717952,2.207121415461625,0.0,0.0,0.0,25/38,11.98%,Aldh5a1;Mccc1;Dld;Kynu;Aldh6a1;Aldh4a1;Uroc1;Cbs;Hibch;Hnmt;Etfa;Dbt;Sardh;Hal;Prodh;Got2;Kmo;Blmh;Otc;Carnmt1;Mccc2;Acmsd;Ivd;Slc25a44;Echs1
prerank,MSigDB_Hallmark_2020__TNF-alpha Signaling via NF-kB,-0.7004108329306687,-2.2067596543471466,0.0,0.0,0.0,93/196,13.34%,Egr1;Btg2;Maff;Clcf1;Gfpt2;Junb;Rhob;Sphk1;Plaur;Csf1;Gadd45b;Ier3;Ackr3;Cebpd;Tnfaip8;Pmepa1;Per1;Socs3;Jag1;Ptger4;Dusp5;Tnf;Smad3;Sgk1;Hbegf;Gpr183;Klf2;Btg1;Hes1;Dram1;Atf3;Tnip1;Zfp36;Ppp1r15a;Fos;Klf4;F2rl1;Sik1;Ier5;Irf1;Dusp4;Zc3h12a;Fosl2;Nfkbie;Egr2;Fjx1;Il7r;Dusp2;Cd83;Tgif1;Ccl5;Gem;Tnfaip3;Nr4a3;Pnrc1;Olr1;Ccnl1;Cd44;Slc2a6;Relb;Ccrl2;Klf6;Tlr2;Birc2;Btg3;Plek;Egr3;Ptpre;Nr4a1;Marcks;Nfkb2;Cxcl1;Spsb1;Nfkbia;Myc;Ccl2;Panx1;Serpinb2;Ier2;Plau;Msc;Nfkb1;Map3k8;Traf1;Cdkn1a;Slc16a6;Sdc4;Pfkfb3;Ets2;Snn;Ifngr2;Tnfaip6;Cebpb
prerank,"KEGG_2019_Mouse__Valine, leucine and isoleucine degradation",0.773736066406152,2.201199981781971,0.0,0.0,0.0,31/53,9.88%,Aacs;Aox3;Abat;Aldh3a2;Hadha;Mccc1;Dld;Pcca;Acadsb;Aox1;Aldh6a1;Ehhadh;Aldh9a1;Aldh7a1;Acadm;Hibch;Dbt;Acat1;Hadhb;Pccb;Aldh1b1;Aldh2;Acaa1b;Acsf3;Mccc2;Agxt2;Hibadh;Hmgcs2;Hadh;Hmgcl;Ivd
prerank,Reactome_2022__Respiratory Electron Transport R-HSA-611105,0.7072460537978499,2.195626372744606,0.0,0.0,0.0,57/89,22.28%,Sdha;Lrpprc;Ndufs1;Etfdh;Trap1;Taco1;Uqcrc2;Etfa;Ndufb5;Ndufaf1;Nubpl;Ndufab1;Ndufv1;Ndufa3;Ndufs2;Ndufb6;Timmdc1;Uqcrfs1;Tmem186;Ndufb9;Uqcrb;Cox7b;Ndufa1;Ndufa5;Ndufa9;Cox7c;Ndufb3;Cox6b1;Ndufs6;Ndufb1;Uqcrc1;Ndufc1;Ndufb8;Acad9;Ndufs5;Cox6c;Ndufa10;Cox5a;Ecsit;Cox5b;Cycs;Sdhb;Ndufaf4;Ndufaf6;Ndufaf7;Ndufs3;Uqcr10;Sco1;Cox18;Cox4i1;Ndufv3;Ndufv2;Sdhd;Ndufaf2;Ndufb10;Uqcr11;Ndufa6
