,Name,Term,ES,NES
0,Veh_5,SHGS,6364.832648253019,1.8292124568240586
1,DpC_1,SHGS,6347.224476141202,1.8241519800528936
2,DpC_5,SHGS,6344.118495418084,1.8232593409304898
3,Veh_1,SHGS,6339.367063123973,1.8218938094828516
4,DpC_4,SHGS,6313.665959477492,1.8145074756163715
5,Veh_3,SHGS,6297.270159013096,1.8097954267524778
6,DpC_2,SHGS,6261.620351235044,1.799549898539117
7,DpC_3,SHGS,6201.345703728897,1.7822273478701398
8,Veh_4,SHGS,6192.617552722973,1.7797189327353822
9,Veh_2,SHGS,6172.670254898028,1.7739862060985894
10,Veh_1,SenMayo,3545.4718611094577,1.0189460826500565
11,Veh_5,SenMayo,3541.431945983273,1.0177850367150378
12,Veh_2,SenMayo,3431.5515322994397,0.986206104073876
13,Veh_3,SenMayo,3328.9931982820526,0.9567314905995974
14,Veh_4,SenMayo,3216.1337355432497,0.9242963981908516
15,DpC_2,SenMayo,3193.2246089915334,0.9177124607993696
16,DpC_1,SenMayo,3189.434217534017,0.9166231263810906
17,DpC_4,SenMayo,3116.3324474489655,0.8956141421948108
18,DpC_5,SenMayo,3109.5870230015043,0.893675550073422
19,DpC_3,SenMayo,2885.2845921984153,0.8292124568240586
